 Tube , cDNA input , sample , dil ,Well
1, 66cDNA1 , 66RNA1 , 1:2 , H1 
2, 66cDNA2 , 66RNA1 -RT , 1:2 , G1 
3, 66cDNA3 , 66RNA2 , 1:2 , F1 
4, 66cDNA4 , 66RNA2 -RT , 1:2 , E1 
5, 66cDNA5 , 66gRNA1 , 1:2 , D1 
6, 66cDNA6 , 66gRNA1 -RT , 1:2 , C1 
7, 66cDNA7 , 66gRNA2 , 1:2 , B1 
8, 66cDNA8 , 66gRNA2 -RT , 1:2 , A1 
9, 66cDNA1 , 66RNA1 , 1:4 , H2 
10, 66cDNA2 , 66RNA1 -RT , 1:4 , G2 
11, 66cDNA3 , 66RNA2 , 1:4 , F2 
12, 66cDNA4 , 66RNA2 -RT , 1:4 , E2 
13, 66cDNA5 , 66gRNA1 , 1:4 , D2 
14, 66cDNA6 , 66gRNA1 -RT , 1:4 , C2 
15, 66cDNA7 , 66gRNA2 , 1:4 , B2 
16, 66cDNA8 , 66gRNA2 -RT , 1:4 , A2 
17, 66cDNA1 , 66RNA1 , 1:8 , H3 
18, 66cDNA2 , 66RNA1 -RT , 1:8 , G3 
19, 66cDNA3 , 66RNA2 , 1:8 , F3 
20, 66cDNA4 , 66RNA2 -RT , 1:8 , E3 
21, 66cDNA5 , 66gRNA1 , 1:8 , D3 
22, 66cDNA6 , 66gRNA1 -RT , 1:8 , C3 
23, 66cDNA7 , 66gRNA2 , 1:8 , B3 
24, 66cDNA8 , 66gRNA2 -RT , 1:8 , A3 
25, 66cDNA1 , 66RNA1 , 1:16 , H4 
26, 66cDNA2 , 66RNA1 -RT , 1:16 , G4 
27, 66cDNA3 , 66RNA2 , 1:16 , F4 
28, 66cDNA4 , 66RNA2 -RT , 1:16 , E4 
29, 66cDNA5 , 66gRNA1 , 1:16 , D4 
30, 66cDNA6 , 66gRNA1 -RT , 1:16 , C4 
31, 66cDNA7 , 66gRNA2 , 1:16 , B4 
32, 66cDNA8 , 66gRNA2 -RT , 1:16 , A4 
33, 66cDNA1 , 66RNA1 , 1:32 , H5 
34, 66cDNA2 , 66RNA1 -RT , 1:32 , G5 
35, 66cDNA3 , 66RNA2 , 1:32 , F5 
36, 66cDNA4 , 66RNA2 -RT , 1:32 , E5 
37, 66cDNA5 , 66gRNA1 , 1:32 , D5 
38, 66cDNA6 , 66gRNA1 -RT , 1:32 , C5 
39, 66cDNA7 , 66gRNA2 , 1:32 , B5 
40, 66cDNA8 , 66gRNA2 -RT , 1:32 , A5 
41, 66cDNA1 , 66RNA1 , 1:64 , H6 
42, 66cDNA2 , 66RNA1 -RT , 1:64 , G6 
43, 66cDNA3 , 66RNA2 , 1:64 , F6 
44, 66cDNA4 , 66RNA2 -RT , 1:64 , E6 
45, 66cDNA5 , 66gRNA1 , 1:64 , D6 
46, 66cDNA6 , 66gRNA1 -RT , 1:64 , C6 
47, 66cDNA7 , 66gRNA2 , 1:64 , B6 
48, 66cDNA8 , 66gRNA2 -RT , 1:64 , A6 
49, 66cDNA1 , 66RNA1 , 1:128 , H7 
50, 66cDNA2 , 66RNA1 -RT , 1:128 , G7 
51, 66cDNA3 , 66RNA2 , 1:128 , F7 
52, 66cDNA4 , 66RNA2 -RT , 1:128 , E7 
53, 66cDNA5 , 66gRNA1 , 1:128 , D7 
54, 66cDNA6 , 66gRNA1 -RT , 1:128 , C7 
55, 66cDNA7 , 66gRNA2 , 1:128 , B7 
56, 66cDNA8 , 66gRNA2 -RT , 1:128 , A7 
57, , pHPSC1142 , 1ng/uL , H8 
58, , ultrapure ,0, G8 
